	Audio Name	Audio Ref
	10_SEC_WARNING	HUD_MINI_GAME_SOUNDSET
	10s	MP_MISSION_COUNTDOWN_SOUNDSET
	1st_Person_Transition	PLAYER_SWITCH_CUSTOM_SOUNDSET
	1st_Person_Transition	PLAYER_SWITCH_CUSTOM_SOUNDSET
	3_2_1	HUD_MINI_GAME_SOUNDSET
	3_2_1	HUD_MINI_GAME_SOUNDSET
	3_2_1_NON_RACE	HUD_MINI_GAME_SOUNDSET
	5_SEC_WARNING	HUD_MINI_GAME_SOUNDSET
	5_Second_Timer	DLC_HEISTS_GENERAL_FRONTEND_SOUNDS
	5s	MP_MISSION_COUNTDOWN_SOUNDSET
	5s_To_Event_Start_Countdown	GTAO_FM_Events_Soundset
	ASSASSINATIONS_HOTEL_TIMER_COUNTDOWN	ASSASSINATION_MULTI
	ATM_WINDOW	HUD_FRONTEND_DEFAULT_SOUNDSET
	Airhorn	DLC_TG_Running_Back_Sounds
	Apt_Style_Purchase	DLC_APT_Apartment_SoundSet
	Arming_Countdown	GTAO_Speed_Convoy_Soundset
	BACK	HUD_AMMO_SHOP_SOUNDSET
	BACK	HUD_FREEMODE_SOUNDSET
	BACK	HUD_FRONTEND_DEFAULT_SOUNDSET
	BACK	HUD_FRONTEND_DEFAULT_SOUNDSET
	BACK	HUD_FRONTEND_MP_SOUNDSET
	BACK	HUD_FRONTEND_TATTOO_SHOP_SOUNDSET
	BACK	HUD_MINI_GAME_SOUNDSET
	BASE_JUMP_PASSED	HUD_AWARDS
	BOATS_PLANES_HELIS_BOOM	MP_LOBBY_SOUNDS
	Beast_Checkpoint	APT_BvS_Soundset
	Beast_Checkpoint_NPC	APT_BvS_Soundset
	Bed	WastedSounds
	Beep_Green	DLC_HEIST_HACKING_SNAKE_SOUNDS
	Beep_Red	DLC_HEIST_HACKING_SNAKE_SOUNDS
	Blade_Appear	APT_BvS_Soundset
	Bomb_Disarmed	GTAO_Speed_Convoy_Soundset
	Boss_Blipped	GTAO_Magnate_Hunt_Boss_SoundSet
	Boss_Message_Orange	GTAO_Boss_Goons_FM_Soundset
	Breaker_01	DLC_HALLOWEEN_FVJ_Sounds
	Breaker_02	DLC_HALLOWEEN_FVJ_Sounds
	Bus_Schedule_Pickup	DLC_PRISON_BREAK_HEIST_SOUNDS
	CABLE_SNAPS	CONSTRUCTION_ACCIDENT_1_SOUNDS
	CAM_PAN_DARTS	HUD_MINI_GAME_SOUNDSET
	CANCEL	HUD_FREEMODE_SOUNDSET
	CANCEL	HUD_FRONTEND_CLOTHESSHOP_SOUNDSET
	CANCEL	HUD_FRONTEND_DEFAULT_SOUNDSET
	CANCEL	HUD_FRONTEND_DEFAULT_SOUNDSET
	CANCEL	HUD_LIQUOR_STORE_SOUNDSET
	CANCEL	HUD_MINI_GAME_SOUNDSET
	CAR_BIKE_WHOOSH	MP_LOBBY_SOUNDS
	CHALLENGE_UNLOCKED	HUD_AWARDS
	CHARACTER_SELECT	HUD_FRONTEND_DEFAULT_SOUNDSET
	CHECKPOINT_AHEAD	HUD_MINI_GAME_SOUNDSET
	CHECKPOINT_BEHIND	HUD_MINI_GAME_SOUNDSET
	CHECKPOINT_MISSED	HUD_MINI_GAME_SOUNDSET
	CHECKPOINT_NORMAL	HUD_MINI_GAME_SOUNDSET
	CHECKPOINT_PERFECT	HUD_MINI_GAME_SOUNDSET
	CHECKPOINT_UNDER_THE_BRIDGE	HUD_MINI_GAME_SOUNDSET
	CLICK_BACK	WEB_NAVIGATION_SOUNDS_PHONE
	CLOSED	DLC_APT_YACHT_DOOR_SOUNDS
	CLOSED	MP_PROPERTIES_ELEVATOR_DOORS
	CLOSE_WINDOW	LESTER1A_SOUNDS
	CONFIRM_BEEP	HUD_MINI_GAME_SOUNDSET
	CONTINUE	HUD_FRONTEND_DEFAULT_SOUNDSET
	CONTINUE	HUD_FRONTEND_DEFAULT_SOUNDSET
	Camera_Shoot	Phone_Soundset_Franklin
	Checkpoint_Beast_Hit	FM_Events_Sasquatch_Sounds
	Checkpoint_Cash_Hit	GTAO_FM_Events_Soundset
	Checkpoint_Hit	GTAO_FM_Events_Soundset
	Checkpoint_Teammate	GTAO_Shepherd_Sounds
	Cheers	DLC_TG_Running_Back_Sounds
	Click	DLC_HEIST_HACKING_SNAKE_SOUNDS
	Click_Fail	WEB_NAVIGATION_SOUNDS_PHONE
	Click_Special	WEB_NAVIGATION_SOUNDS_PHONE
	Click_Special	WEB_NAVIGATION_SOUNDS_PHONE
	Continue_Accepted	DLC_HEIST_PLANNING_BOARD_SOUNDS
	Continue_Appears	DLC_HEIST_PLANNING_BOARD_SOUNDS
	Crash	DLC_HEIST_HACKING_SNAKE_SOUNDS
	Criminal_Damage_High_Value	GTAO_FM_Events_Soundset
	Criminal_Damage_Kill_Player	GTAO_FM_Events_Soundset
	Criminal_Damage_Low_Value	GTAO_FM_Events_Soundset
	Cycle_Item	DLC_Dmod_Prop_Editor_Sounds
	DELETE	HUD_DEATHMATCH_SOUNDSET
	Delete_Placed_Prop	DLC_Dmod_Prop_Editor_Sounds
	Deliver_Pick_Up	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	DiggerRevOneShot	BulldozerDefault
	Door_Open	DOCKS_HEIST_FINALE_2B_SOUNDS
	Drill_Pin_Break	DLC_HEIST_FLEECA_SOUNDSET
	Dropped	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	EDIT	HUD_DEATHMATCH_SOUNDSET
	ERROR	HUD_AMMO_SHOP_SOUNDSET
	ERROR	HUD_FRONTEND_CLOTHESSHOP_SOUNDSET
	ERROR	HUD_FRONTEND_DEFAULT_SOUNDSET
	ERROR	HUD_FRONTEND_TATTOO_SHOP_SOUNDSET
	ERROR	HUD_LIQUOR_STORE_SOUNDSET
	EXIT	HUD_FRONTEND_DEFAULT_SOUNDSET
	End_Squelch	CB_RADIO_SFX
	Enemy_Capture_Start	GTAO_Magnate_Yacht_Attack_Soundset
	Enemy_Deliver	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	Enemy_Pick_Up	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	Enter_1st	GTAO_FM_Events_Soundset
	Enter_1st	GTAO_Magnate_Boss_Modes_Soundset
	Enter_Area	DLC_Lowrider_Relay_Race_Sounds
	Enter_Capture_Zone	DLC_Apartments_Drop_Zone_Sounds
	Event_Message_Purple	GTAO_FM_Events_Soundset
	Event_Start_Text	GTAO_FM_Events_Soundset
	Exit_Capture_Zone	DLC_Apartments_Drop_Zone_Sounds
	FAMILY_1_CAR_BREAKDOWN	FAMILY1_BOAT
	FAMILY_1_CAR_BREAKDOWN_ADDITIONAL	FAMILY1_BOAT
	FIRST_PLACE	HUD_MINI_GAME_SOUNDSET
	FLIGHT_SCHOOL_LESSON_PASSED	HUD_AWARDS
	FLYING_STREAM_END_INSTANT	FAMILY_5_SOUNDS
	Failure	DLC_HEIST_HACKING_SNAKE_SOUNDS
	Falling_Crates	EXILE_1
	Faster_Bar_Full	RESPAWN_ONLINE_SOUNDSET
	Faster_Click	RESPAWN_ONLINE_SOUNDSET
	FestiveGift	Feed_Message_Sounds
	FocusIn	HintCamSounds
	FocusOut	HintCamSounds
	Friend_Deliver	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	Friend_Pick_Up	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	Friend_Pick_Up	HUD_FRONTEND_MP_COLLECTABLE_SOUNDS
	Frontend_Beast_Fade_Screen	FM_Events_Sasquatch_Sounds
	Frontend_Beast_Freeze_Screen	FM_Events_Sasquatch_Sounds
	Frontend_Beast_Text_Hit	FM_Events_Sasquatch_Sounds
	Frontend_Beast_Transform_Back	FM_Events_Sasquatch_Sounds
	GO	HUD_MINI_GAME_SOUNDSET
	GO	HUD_MINI_GAME_SOUNDSET
	GOLF_BIRDIE	HUD_AWARDS
	GOLF_EAGLE	HUD_AWARDS
	GOLF_NEW_RECORD	HUD_AWARDS
	GO_NON_RACE	HUD_MINI_GAME_SOUNDSET
	Goal	DLC_HEIST_HACKING_SNAKE_SOUNDS
	Goon_Paid_Small	GTAO_Boss_Goons_FM_Soundset
	Grab_Parachute	BASEJUMPS_SOUNDS
	HIGHLIGHT	HUD_FRONTEND_DEFAULT_SOUNDSET
	HIGHLIGHT_NAV_UP_DOWN	HUD_FRONTEND_DEFAULT_SOUNDSET
	HOORAY	BARRY_02_SOUNDSET
	HORDE_COOL_DOWN_TIMER	HUD_FRONTEND_DEFAULT_SOUNDSET
	Hack_Failed	DLC_HEIST_BIOLAB_PREP_HACKING_SOUNDS
	Hack_Success	DLC_HEIST_BIOLAB_PREP_HACKING_SOUNDS
	Hang_Up	Phone_SoundSet_Michael
	Highlight_Accept	DLC_HEIST_PLANNING_BOARD_SOUNDS
	Highlight_Cancel	DLC_HEIST_PLANNING_BOARD_SOUNDS
	Highlight_Error	DLC_HEIST_PLANNING_BOARD_SOUNDS
	Highlight_Move	DLC_HEIST_PLANNING_BOARD_SOUNDS
	Hit	RESPAWN_ONLINE_SOUNDSET
	Hit	RESPAWN_SOUNDSET
	Hit	RESPAWN_SOUNDSET
	Hit_1	LONG_PLAYER_SWITCH_SOUNDS
	Hit_1	LONG_PLAYER_SWITCH_SOUNDS
	Hit_In	PLAYER_SWITCH_CUSTOM_SOUNDSET
	Hit_Out	PLAYER_SWITCH_CUSTOM_SOUNDSET
	Kill_List_Counter	GTAO_FM_Events_Soundset
	LEADERBOARD	HUD_MINI_GAME_SOUNDSET
	LEADER_BOARD	HUD_FRONTEND_DEFAULT_SOUNDSET
	LIMIT	DLC_APT_YACHT_DOOR_SOUNDS
	LIMIT	GTAO_APT_DOOR_DOWNSTAIRS_GLASS_SOUNDS
	LIMIT	GTAO_APT_DOOR_DOWNSTAIRS_WOOD_SOUNDS
